Date,Open,High,Low,Close,Adj Close,Volume
2020-08-24,22.860001,23.129999,22.799999,22.969999,22.969999,51841900
2020-08-25,23.090000,23.150000,22.690001,22.870001,22.870001,37981400
2020-08-26,22.780001,22.900000,22.040001,22.219999,22.219999,69925300
2020-08-27,22.320000,22.469999,22.040001,22.150000,22.150000,35489800
2020-08-28,22.250000,22.540001,22.059999,22.540001,22.540001,31071000
2020-08-31,22.320000,22.430000,21.889999,21.889999,21.889999,48539700
2020-09-01,22.200001,22.889999,22.120001,22.870001,22.870001,66299700
2020-09-02,22.930000,23.100000,22.520000,22.799999,22.799999,53618000
2020-09-03,22.610001,23.120001,22.570000,22.879999,22.879999,87642400
2020-09-04,23.000000,23.030001,22.580000,22.920000,22.920000,52351100
2020-09-08,22.500000,22.500000,21.910000,22.260000,22.260000,74490200
2020-09-09,22.490000,22.770000,22.490000,22.730000,22.730000,42143500
2020-09-10,22.580000,22.580000,22.110001,22.120001,22.120001,58350000
2020-09-11,22.120001,22.260000,21.750000,21.879999,21.879999,71013700
2020-09-14,21.940001,21.980000,21.430000,21.680000,21.680000,46453300
2020-09-15,21.980000,22.080000,21.549999,21.670000,21.670000,58546700
2020-09-16,21.850000,21.990000,21.600000,21.730000,21.730000,50379500
2020-09-17,21.510000,22.170000,21.459999,22.150000,22.150000,60432200
2020-09-18,21.990000,22.150000,21.549999,21.650000,21.650000,64243500
2020-09-21,21.290001,21.459999,20.809999,20.900000,20.900000,73300000
2020-09-22,20.959999,21.350000,20.750000,20.799999,20.799999,47207700
2020-09-23,20.799999,20.959999,20.200001,20.230000,20.230000,57106300
2020-09-24,20.240000,20.709999,20.059999,20.400000,20.400000,76310000
2020-09-25,20.150000,20.260000,19.870001,20.129999,20.129999,40150400
2020-09-28,20.330000,20.559999,19.629999,19.629999,19.629999,48797400
2020-09-29,19.629999,19.860001,19.250000,19.309999,19.309999,52878100
2020-09-30,19.500000,20.040001,19.430000,19.610001,19.610001,69505000
2020-10-01,19.639999,20.059999,19.129999,19.850000,19.850000,77537300
2020-10-02,19.730000,19.740000,19.020000,19.020000,19.020000,85306000
2020-10-05,19.360001,20.160000,19.240000,20.030001,20.030001,73288500
2020-10-06,20.469999,20.700001,19.930000,19.930000,19.930000,77064600
2020-10-07,20.000000,20.049999,19.559999,19.790001,19.790001,53521000
2020-10-08,20.040001,20.590000,19.860001,20.440001,20.440001,78070400
2020-10-09,20.340000,20.389999,19.799999,19.799999,19.799999,67962300
2020-10-13,19.910000,20.129999,19.730000,20.129999,20.129999,55330600
2020-10-14,20.090000,20.370001,19.969999,19.969999,19.969999,44584300
2020-10-15,19.620001,19.770000,19.440001,19.750000,19.750000,56952100
2020-10-16,19.670000,19.709999,19.320000,19.330000,19.330000,49929000
2020-10-19,19.410000,19.940001,19.250000,19.520000,19.520000,107419300
2020-10-20,19.670000,20.270000,19.590000,20.180000,20.180000,68407700
